id,field,mngt_soil,transect,distance,type,nest_pa,nest_id,soil_bulk_dens,soil_rel_dens,soil_som,soil_ph,soil_sand,soil_silt,soil_clay
S135,DaDu05,NT,20-21m,20,Control,0,NA,1.289511016237542,0.6664451683903827,2.01,4.6,55.709766302683946,24.696397591590976,19.593836105725075
S126,DaDu05,NT,30-31m,30,Control,0,NA,1.2707658942588753,0.6672760163366614,2.57,6.21,58.534332341168025,24.01724314892743,17.448424509904545
S103,ChBo01,NT,0-1m,0,Control,0,NA,1.1559899154584536,0.610040658191066,3.2,6.77,48.450413223140494,31.81818181818182,19.73140495867769
S102,ChBo01,NT,5-6m,5,Control,0,NA,1.077586145201442,0.5996277072344949,4.73,6.61,58.014065288128485,30.859662013225567,11.126272698645954
S96,ChBo01,NT,10-11m,10,Control,0,NA,1.1370214524801268,0.6244415710077205,5.32,6.44,52.999577524292356,27.566539923954373,19.433882551753275
S104,ChBo01,NT,20-21m,20,Control,0,NA,1.1238947299225572,0.610391511049417,4.57,6.62,55.35994970135177,26.197212616577595,18.44283768207063
S144,ChBo01,NT,30-31m,30,Control,0,NA,1.1400913856003634,0.6282587394144723,5.22,6.75,54.420763874235064,27.959485123443766,17.619751002321163
S98,ChBo01,NT,1-2m,1,Nest,1,ChBo01_FIT_1.1,1.144937932206651,0.6363728587086847,5,5.74,55.157894736842096,31.578947368421055,13.263157894736842
S105,ChBo01,NT,1-2m,1,Nest,1,ChBo01_FIT_1.2,1.2091844703969818,0.6574568473550036,3.87,6.54,55.476958285654845,30.999687922604807,13.523353791740352
S93,ChBo01,NT,1-2m,1,Nest,1,ChBo01_FIT_1.3,1.1756857724708776,0.6315134186018487,3.41,6.37,55.17134278910859,30.023811988818718,14.804845222072679
S132,RaMe03,NT,0-1m,0,Control,0,NA,1.2100441577356424,0.6182632160788432,4,7.58,20.20833333333333,43.125,36.66666666666667
S130,RaMe03,NT,5-6m,5,Control,0,NA,1.4551166091326264,0.7419852771680309,2.43,7.8,26.616787947114894,46.12073383212053,27.26247822076458
S138,RaMe03,NT,10-11m,10,Control,0,NA,1.2783850981961076,0.6538139818586721,4.68,7.09,18.694922366764587,40.60008392782208,40.70499370541334
S124,RaMe03,NT,20-21m,20,Control,0,NA,1.3608025246352453,0.6869409298218561,2.52,7.06,22.445629872794413,45.95814526056627,31.59622486663931
S121,RaMe03,NT,30-31m,30,Control,0,NA,1.4361233980687351,0.7384683256815605,1.39,6.31,34.793631477537765,47.76391846668695,17.442450055775275
A3,AnCa01,CT,0-1m,0,Control,0,NA,1.3848316146450896,0.7015515304131108,1.48,5.37,29.760454730004064,46.691027202598455,23.548518067397485
A527,AnCa01,CT,5-6m,5,Control,0,NA,1.5249916976036686,0.7776374291793405,1.06,4.93,33.59611885991511,48.00889427936123,18.39498686072367
A5,AnCa01,CT,10-11m,10,Control,0,NA,1.4275636160860548,0.731523941850826,0.93,4.91,38.02361966286465,46.22993842737458,15.746441909760774
A15,AnCa01,CT,20-21m,20,Control,0,NA,1.514582135988208,0.7359055432230381,0.77,5.37,33.99173637004937,31.139776277335482,34.86848735261514
A530,AnCa01,CT,30-31m,30,Control,0,NA,1.3865187350074946,0.7066711650272408,1.76,5.97,37.601791530944624,39.29153094462541,23.106677524429966
A1,AnCa01,CT,2-3m,2,Nest,1,AnCa01_FIT_1.6,1.5939711909498246,0.8181671104108541,0.98,5.29,36.477479297111685,48.071096748131694,15.451423954756615
A14,AnCa01,CT,10-11m,10,Nest,1,AnCa01_FIT_1.8,1.4825317437792809,0.7480730143187118,0.66,4.94,32.756190859673836,47.513589691966985,19.730219448359172
A24,AnCa01,CT,10-11m,10,Nest,1,AnCa01_FIT_1.10,1.4424373798083692,0.7012733062091167,0.99,5.03,30.51206948793051,33.43096656903343,36.05696394303606
A8,AnCa01,CT,30-31m,30,Nest,1,AnCa01_FIT_1.13,1.397588670265031,0.7080734011492537,0.95,5.71,37.001514386673406,42.90762241292276,20.090863200403835
A18,JoMe05,CT,0-1m,0,Control,0,NA,1.368960855409916,0.692147850250231,2.15,7.91,27.439959121103726,43.94481349003577,28.6152273888605
